pitch_deg,fxO,fyO,fzO,txO,tyO,tzO,ftx,fty,ftz,eex,eey,eez
-1.199187866541149816e+01,-4.156917224513749787e-01,8.032014592185001689e-01,-1.141612009209129930e+01,-2.559826228356266720e-01,-1.012958552244725974e+00,-6.723099309818807157e-02,3.746123234800973756e-01,6.647860072275712444e-05,3.096595254748912285e-01,5.443621497326803782e-01,-4.305593713411693031e-06,3.094271963640623513e-01
-1.220856607762432411e+01,-3.803238510452433552e-01,8.205187039889919598e-01,-1.137493056043605932e+01,-2.618518250894777966e-01,-9.974694594752586685e-01,-6.889831318980516039e-02,3.734427902733676863e-01,6.604265361222176199e-05,3.094218256454894789e-01,5.431926230307256853e-01,-4.890040352785216091e-06,3.091943450923961278e-01
-1.242149529233011407e+01,-3.771585069280063429e-01,8.196830769159603181e-01,-1.134061374314467763e+01,-2.613595814349724544e-01,-9.933204853306645266e-01,-6.723738400834569640e-02,3.722933721783630023e-01,6.616374557436984437e-05,3.091840903667779639e-01,5.420432171850256831e-01,-5.863129574428817790e-06,3.089663006900821296e-01
-1.264159101629972604e+01,-3.794725534945357914e-01,8.460967528502961743e-01,-1.135406714146656881e+01,-2.706032797746804053e-01,-9.940826039878611908e-01,-7.019347576882103978e-02,3.711101439745363439e-01,6.571921842472325346e-05,3.089282058943414455e-01,5.408599844528571010e-01,-6.457250609368336380e-06,3.087069636244813009e-01
-1.285260239368767898e+01,-3.600713920439826410e-01,8.520460104385700895e-01,-1.123282861766409368e+01,-2.725512775674541199e-01,-9.787476037192939238e-01,-7.015434947767494600e-02,3.699721633283574729e-01,6.763521753279902362e-05,3.086866125858328536e-01,5.397220173128454146e-01,-3.612998842361406725e-06,3.084756719859471086e-01
-1.307275554707149290e+01,-3.290162948859287617e-01,8.529134317468484161e-01,-1.129136205069701226e+01,-2.730329486355276836e-01,-9.715414542431286549e-01,-7.005453914724220355e-02,3.687934042255687772e-01,6.869373973522687772e-05,3.084147126602011513e-01,5.385432472896276579e-01,-8.094751910471407108e-07,3.081946012556653902e-01
-1.328640886085020689e+01,-3.311986562448927529e-01,8.467226631654501956e-01,-1.123827886828143896e+01,-2.708468324816599160e-01,-9.682027970242834680e-01,-6.855859846113461498e-02,3.676438794485047401e-01,6.761879363467595096e-05,3.081603146416750372e-01,5.373937317662570434e-01,-3.522281117079780486e-06,3.079480010793468892e-01
-1.350261491515764511e+01,-3.201232102203084295e-01,8.565933035513355609e-01,-1.122725370827539315e+01,-2.745209167949574924e-01,-9.626760251215218389e-01,-6.943495244532664479e-02,3.664820397040743916e-01,6.630090849524035315e-05,3.079015009638119138e-01,5.362318952030068475e-01,-5.390867120173503343e-06,3.076919338364510481e-01
-1.371717980904899470e+01,-2.980419705395047636e-01,8.779032132153931078e-01,-1.120756712876041838e+01,-2.819600513242809248e-01,-9.520921311092387374e-01,-7.180281945490114837e-02,3.653323885615145650e-01,6.586033665529666731e-05,3.076281978076401136e-01,5.350822491771405343e-01,-5.980018999757910170e-06,3.074228689522446878e-01
-1.393313902737883403e+01,-2.989008366693459706e-01,8.707379282229817941e-01,-1.110764388259647717e+01,-2.797592639688330496e-01,-9.443534996410194449e-01,-7.071096593920696283e-02,3.641725863673260233e-01,6.541617378499720123e-05,3.073605985971291643e-01,5.339224570987621821e-01,-6.573367079120985253e-06,3.071638648512983183e-01
-1.414686868416204923e+01,-2.846061105700812277e-01,8.907793655583571280e-01,-1.102727499645254206e+01,-2.868816697314682251e-01,-9.350353653312113433e-01,-7.330058471239750406e-02,3.630272442668731059e-01,6.584068627888261941e-05,3.070878512595876519e-01,5.327771214731303884e-01,-5.892172318277218482e-06,3.068966893973389953e-01
-1.436730834417839553e+01,-2.569676891637859839e-01,8.991065474305681704e-01,-1.108032513358153359e+01,-2.899422763997333563e-01,-9.282836490871950730e-01,-7.490636918930625165e-02,3.618539021774277442e-01,6.711041538006174009e-05,3.067883864138850059e-01,5.316037688784979176e-01,-3.962647824364600910e-06,3.065878780882450028e-01
-1.457751799053902175e+01,-2.308047662371111031e-01,8.830629141721723085e-01,-1.097736780714030225e+01,-2.854462010975734043e-01,-9.111972106682237893e-01,-7.311811406393425861e-02,3.607259174567720716e-01,6.867051024361834428e-05,3.065178945637015984e-01,5.304758005695261458e-01,-1.607596570403781156e-06,3.063314966183147692e-01
-1.479698456471783352e+01,-2.397746739247272885e-01,8.734492479323970882e-01,-1.096929320985842971e+01,-2.821528416626757907e-01,-9.123971235773258304e-01,-7.121160225093536855e-02,3.595563190541843368e-01,6.820893022417884896e-05,3.062193671669837247e-01,5.293061996527145263e-01,-2.216886383805242197e-06,3.060307485328457866e-01
-1.501103377091341429e+01,-2.107036635352677045e-01,8.790909172357668222e-01,-1.086550215577300449e+01,-2.840238661184796842e-01,-8.924684690500597206e-01,-7.141529416001786423e-02,3.584157580033761614e-01,6.775767411654167653e-05,3.059217405806990975e-01,5.281656428841732254e-01,-2.814860235966529602e-06,3.057370720301854083e-01
-1.522742450226712840e+01,-1.971332108528072169e-01,8.931041916904975952e-01,-1.078825986569211892e+01,-2.892407949963254343e-01,-8.812106518004509947e-01,-7.336984226838701162e-02,3.572606733383500432e-01,6.588597200821763155e-05,3.056273752743490224e-01,5.270105639777142859e-01,-5.506081958472775341e-06,3.054484029342168228e-01
-1.544298011555341432e+01,-1.756752916090809080e-01,8.865523316690618882e-01,-1.067065464892084670e+01,-2.873074650371108540e-01,-8.646287807700729910e-01,-7.253760683292052869e-02,3.561158075098996845e-01,6.600308452471469948e-05,3.053200795019811453e-01,5.258656954170078945e-01,-5.264411548302051855e-06,3.051384852613974741e-01
-1.565862640723254984e+01,-1.758868304348153444e-01,9.015073740255242774e-01,-1.066487426695904261e+01,-2.925258165674993194e-01,-8.646217371823399223e-01,-7.508084923492450158e-02,3.549674723291134093e-01,6.575482346607733027e-05,3.050143195794823847e-01,5.247173674508934793e-01,-6.766774384975369865e-06,3.048401163574950279e-01
-1.587287915129187965e+01,-1.551489571399220502e-01,8.910450562010425735e-01,-1.061361237145369962e+01,-2.895629135934688070e-01,-8.513414662379243936e-01,-7.311426394351740188e-02,3.538271850850879252e-01,6.530335009016372189e-05,3.047082831553443727e-01,5.235770873182021834e-01,-7.365696961749172624e-06,3.045412171271175139e-01
-1.609116592993173711e+01,-1.495428146337025588e-01,8.910433551994862977e-01,-1.061813908237894566e+01,-2.895447692896939151e-01,-8.495443566671005975e-01,-7.225786597299885261e-02,3.526728161359828362e-01,6.744508396852629396e-05,3.043797660515852321e-01,5.224227159994018210e-01,-2.916466997450079825e-06,3.042093383209283908e-01
-1.630378519312984764e+01,-1.537072189743251549e-01,8.931541004941805362e-01,-1.051713807676517831e+01,-2.906663711078912304e-01,-8.423592554141432487e-01,-7.312596777099229783e-02,3.515428344842158603e-01,6.838528403347808300e-05,3.040707585521841283e-01,5.212927409499519271e-01,-1.447153341239962245e-06,3.039068125104295026e-01
